³¤,¿í,Ãæ»ý
113.737,80.6538,6256.5
257.911,162.416,30496
84.7058,47.245,3150.5
5,4,20
5,4,20
71.5316,68.7379,3950
99.1313,77.614,6169
72.0014,63.9515,3368.5
13.0384,9.05019,121.5
96.2541,66.0357,4389
238.196,191.694,32115.5
103.049,65.4348,5779.5
5,4,20
90.5833,77.1371,5683
123.157,102.455,9820
100.396,54.2244,3675.5
120,100,8315
14,8,120.5
45.375,20.5336,657
89.5785,76.5903,5477
132.431,60.0227,5713
64.6295,57.3581,2939.5
81.8579,73.1703,4139
93.1217,84.467,5541.5
484.34,388.355,110676
87.6963,68.3838,4489
230.021,223.48,38714
172.904,88.1887,9567.5
120.316,108.575,9932.5
238.283,104.187,19048.5
133.224,77.5428,5780.5
125.252,88.4565,7659.5
153.189,99.6484,11023
163.054,112.861,14614
187.904,165.021,24622
139.411,97.687,10559
229.731,102.434,15846.5
115.814,106.971,8730
131.188,78.835,8272.5
81,79,5264
305.13,99.6694,17482.5
17.1172,3.9726,51
143.267,114.313,11410
